inputValue	outputValue	
0.710938	0b000.11
0.71875		0b000.11
0.726562	0b000.11
0.734375	0b000.11
0.742188	0b000.11
0.75		0b000.11
0.757812	0b000.11
0.765625	0b000.11
0.773438	0b000.11
0.78125		0b000.11
0.789062	0b000.11
0.796875	0b000.11
0.804688	0b000.11
0.8125		0b000.11
0.820312	0b000.11
0.828125	0b000.11
0.835938	0b000.11
0.84375		0b000.11
0.851562	0b000.11
0.859375	0b000.11
0.867188	0b000.11
0.875		0b000.11
0.882812	0b001.00
0.890625	0b001.00
0.898438	0b001.00
0.90625		0b001.00
0.914062	0b001.00
0.921875	0b001.00
0.929688	0b001.00
0.9375		0b001.00
0.945312	0b001.00
0.953125	0b001.00
0.960938	0b001.00
0.96875		0b001.00
0.976562	0b001.00
0.984375	0b001.00
0.992188	0b001.00
1		0b001.00
1.00781		0b001.00
1.01562		0b001.00
1.02344		0b001.00
1.03125		0b001.00
1.03906		0b001.00
1.04688		0b001.00
1.05469		0b001.00
1.0625		0b001.00
1.07031		0b001.00
1.07812		0b001.00
1.08594		0b001.00
1.09375		0b001.00
1.10156		0b001.00
1.10938		0b001.00
1.11719		0b001.00
1.125		0b001.00
1.13281		0b001.01
1.14062		0b001.01
1.14844		0b001.01
1.15625		0b001.01
1.16406		0b001.01
1.17188		0b001.01
1.17969		0b001.01
1.1875		0b001.01
1.19531		0b001.01
1.20312		0b001.01
1.21094		0b001.01
1.21875		0b001.01
1.22656		0b001.01
1.23438		0b001.01
1.24219		0b001.01
1.25		0b001.01
1.25781		0b001.01
1.26562		0b001.01
1.27344		0b001.01
1.28125		0b001.01
1.28906		0b001.01
1.29688		0b001.01
1.30469		0b001.01
1.3125		0b001.01
1.32031		0b001.01
1.32812		0b001.01
1.33594		0b001.01
1.34375		0b001.01
1.35156		0b001.01
1.35938		0b001.01
1.36719		0b001.01
1.375		0b001.01
1.38281		0b001.10
1.39062		0b001.10
1.39844		0b001.10
1.40625		0b001.10
1.41406		0b001.10
1.42188		0b001.10
1.42969		0b001.10
1.4375		0b001.10
1.44531		0b001.10
1.45312		0b001.10
1.46094		0b001.10
1.46875		0b001.10
1.47656		0b001.10
1.48438		0b001.10
1.49219		0b001.10
1.5		0b001.10
1.50781		0b001.10
1.51562		0b001.10
1.52344		0b001.10
1.53125		0b001.10
1.53906		0b001.10
1.54688		0b001.10
1.55469		0b001.10
1.5625		0b001.10
1.57031		0b001.10
1.57812		0b001.10
1.58594		0b001.10
1.59375		0b001.10
1.60156		0b001.10
1.60938		0b001.10
1.61719		0b001.10
1.625		0b001.10
1.63281		0b001.11
1.64062		0b001.11
1.64844		0b001.11
1.65625		0b001.11
1.66406		0b001.11
1.67188		0b001.11
1.67969		0b001.11
1.6875		0b001.11
1.69531		0b001.11
1.70312		0b001.11
1.71094		0b001.11
1.71875		0b001.11
1.72656		0b001.11
1.73438		0b001.11
1.74219		0b001.11
1.75		0b001.11
1.75781		0b001.11
1.76562		0b001.11
1.77344		0b001.11
1.78125		0b001.11
1.78906		0b001.11
1.79688		0b001.11
1.80469		0b001.11
1.8125		0b001.11
1.82031		0b001.11
1.82812		0b001.11
1.83594		0b001.11
1.84375		0b001.11
1.85156		0b001.11
1.85938		0b001.11
1.86719		0b001.11
1.875		0b001.11
1.88281		0b010.00
1.89062		0b010.00
1.89844		0b010.00
1.90625		0b010.00
1.91406		0b010.00
1.92188		0b010.00
1.92969		0b010.00
1.9375		0b010.00
1.94531		0b010.00
1.95312		0b010.00
1.96094		0b010.00
1.96875		0b010.00
1.97656		0b010.00
1.98438		0b010.00
1.99219		0b010.00
